"cursor","count","results__kind","results__description","results__avatar_url","results__subscribers","results__updated_at","results__repo","results__version","results__stars","results__owner","results__forks","results__dependency_count"
"","","element","null","https://avatars3.githubusercontent.com/u/23249386?v=3","3","2016-11-04T21:37:55Z","profile-picture","2.0.6","0","LssPolymerElements","0","8"
"","","element","v1 custom element","https://avatars2.githubusercontent.com/u/8365885?v=3","1","2017-07-02T03:46:19Z","table-of-data","1.2.0","1","zvakanaka","0","0"
"","","element","Simple functional Polymer Element for querying GraphQL APIs","https://avatars0.githubusercontent.com/u/26679886?v=3","1","2017-06-30T19:51:55Z","iron-graphql","1.0.3","0","wasc-io","0","1"
"","","element","Element enabling you to upload videos to YouTube.","https://avatars2.githubusercontent.com/u/7328930?v=3","16","2017-06-20T04:14:22Z","google-youtube-upload","v2.1.0","28","GoogleWebComponents","15","10"
"","","element","vaadin-text-field is themable HTML input with data binding. Part of Vaadin Core Elements bundle.","https://avatars1.githubusercontent.com/u/1171922?v=3","10","2017-06-19T18:16:33Z","vaadin-text-field","v1.1.0-alpha1","1","vaadin","4","3"
"","","element","Polymer element that shows a pretty formatted gallery (using the Flickr justified-layout library)","https://avatars1.githubusercontent.com/u/7239008?v=3","3","2017-06-16T09:10:25Z","iron-justified-gallery","v2.1.0","0","Collaborne","1","3"
"False:CvYDCrIBCo8BgP_-9wWbfw_z0v_8jIGcioyLkJLSmpOakpqRi4z_AHRtoKCZi4ygoP8AXZ6Pj5qRmJaRmv8Ac3RtlpGbmof_AF2Nmo-Q_wBzdG2bkJyglpv_AF2Wi4ySmp2akZuajdCcno2NkIqMmpPSk5aMi_8Ac3-Wi4ySmp2akZuajdCcno2NkIqMmpPSk5aMi_8A__4QPCEE3QSQHTwbGVAAWgsJ6klqPmmVoRAQAmDzo7vAARINRG9jdW1lbnRJbmRleBr5AShBTkQgKElTICJjdXN0b21lcl9uYW1lIiAiYXBwZW5naW5lIikgKElTICJncm91cF9uYW1lIiAic35jdXN0b20tZWxlbWVudHMiKSAoSVMgIm5hbWVzcGFjZSIgIiIpIChJUyAiaW5kZXhfbmFtZSIgInJlcG8iKSAoQU5EIChPUiAoUVQgImVsZW1lbnQiICJydGV4dF9raW5kIikgKElTICJyYXRvbV9raW5kIiAiZWxlbWVudCIpKSAoT1IgKFFUICJlbGVtZW50IiAicnRleHRfa2luZCIpIChJUyAicmF0b21fa2luZCIgImVsZW1lbnQiKSkpKToZCgwoTiBvcmRlcl9pZCkQARkAAAAAAADw_0oZCAE6EmJ0aV9nZW5lcmljX3Njb3JlckDoBw","1004","element","A repository for the J4 Backend Interface Team to work on custom elements","https://avatars3.githubusercontent.com/u/4417437?v=3","12","2017-06-30T15:34:08Z","custom-elements","v0.0.3","3","joomla-projects","1","0"
"","","element","Makes an element a Material Design dialog","https://avatars2.githubusercontent.com/u/11639138?v=3","23","2017-06-05T19:48:53Z","paper-dialog-behavior","v2.0.1","12","PolymerElements","20","3"
"","","element","Fits an element into another element","https://avatars2.githubusercontent.com/u/11639138?v=3","24","2017-05-13T06:08:51Z","iron-fit-behavior","v2.0.1","11","PolymerElements","23","1"
"","","element","Polymer component based on the accessible Date Picker from Open Ajax Alliance","https://avatars3.githubusercontent.com/u/997038?v=3","1","2017-06-19T06:39:25Z","polymer-openajax-datepicker","0.2.2","2","felixzapata","1","2"
"","","element","A Flippable 'card' web component based on Paul Lewis' UI Experiment","https://avatars3.githubusercontent.com/u/147548?v=3","1","2017-06-29T21:50:33Z","flippy-card","1.0.0","1","diddledan","1","1"
"","","element","Fast modular regex-based Markdown parser.","https://avatars2.githubusercontent.com/u/10231285?v=3","2","2017-06-29T16:42:31Z","s-markdown","v0.1.3","4","StartPolymer","0","1"
"","","element","null","https://avatars3.githubusercontent.com/u/147548?v=3","1","2017-04-23T22:44:56Z","validate-string","1.0.0","0","diddledan","0","1"
"","","element","Polymer component to resize child element to proportional height based on the width similar to fitvids","https://avatars3.githubusercontent.com/u/147548?v=3","1","2016-02-12T19:53:14Z","proportional-height-box","2.0.0","0","diddledan","2","1"
"","","element","A collection of components for contact information in Material Design","https://avatars1.githubusercontent.com/u/7239008?v=3","5","2017-06-16T07:54:21Z","paper-contact","2.0.2","8","Collaborne","3","6"
"","","element","webcomponent of echarts","https://avatars0.githubusercontent.com/u/191992?v=3","1","2017-03-31T16:37:06Z","echarts-webcomponent","v1.0.10","3","kkpoon","2","2"
"","","element","An element that reverses children order based on a property ","https://avatars2.githubusercontent.com/u/17868814?v=3","1","2017-06-22T22:03:00Z","reverse-element","0.0.6","3","convoo","1","1"
"","","element","A polymer element that formats currency.","https://avatars3.githubusercontent.com/u/23249386?v=3","5","2017-06-27T22:16:24Z","titanium-currency","2.0.0","1","LssPolymerElements","0","2"
"","","element","Polymer Typescript Dependency Injection ","https://avatars3.githubusercontent.com/u/23249386?v=3","4","2017-06-23T21:49:47Z","lss-inject","2.0.2","1","LssPolymerElements","0","0"
"","","element","Rotating network logo for loading sequences","https://avatars1.githubusercontent.com/u/26451082?v=3","2","2017-06-23T03:35:11Z","elmsln-loading","0.0.4","0","LRNWebComponents","0","7"
"","","element","power-pop provides a brief animation indicating success or error.","https://avatars3.githubusercontent.com/u/1466420?v=3","1","2017-04-20T07:55:15Z","power-pop","0.2.0","1","bennypowers","0","8"
"","","element","A polymer-compatible wrapper for the Zendesk Web Widget (Polymer)","https://avatars1.githubusercontent.com/u/7239008?v=3","2","2017-06-16T09:46:04Z","zendesk-web-widget","2.0.4","0","Collaborne","0","1"
"","","element","A Polymer element that provides a paper-date-picker for browsers that do not support input type date such as IE, Edge and Firefox.    ","https://avatars3.githubusercontent.com/u/23249386?v=3","4","2017-05-25T19:23:28Z","lss-paper-date-picker","1.2.0","1","LssPolymerElements","1","8"
"","","element","Polymer element to give random quotes.","https://avatars0.githubusercontent.com/u/26654185?v=3","0","2017-04-28T09:46:34Z","daily-quote","v1.1.2","0","itsMeBender","0","1"
"","","element","animated logo for preignition","https://avatars1.githubusercontent.com/u/17042611?v=3","1","2017-06-06T13:48:40Z","preignition-logo","v0.2.0","0","PolymerEl","0","2"
"","","element","A Polymer element to show a number of 'n' items in a list of 'm' items as a rotating carrousel.","https://avatars0.githubusercontent.com/u/26654185?v=3","0","2017-05-04T14:05:43Z","carrousel-list","v1.0.3","1","itsMeBender","0","1"
"False:CuMDCp8BCn2A__73BZeA_PPN__yMgZyKjIuQktKak5qSmpGLjP8AdG2goJmLjKCg_wBdno-PmpGYlpGa_wBzdG2WkZuah_8AXY2aj5D_AHN0bZuQnKCWm_8AXZKWhYuNkJfQiIaMloiGmNKa_wBzf5KWhYuNkJfQiIaMloiGmNKa_wD__hBQIQTdBJAdPBsZUABaCwnqSWo-aZWhEBACYPOju8ABEg1Eb2N1bWVudEluZGV4GvkBKEFORCAoSVMgImN1c3RvbWVyX25hbWUiICJhcHBlbmdpbmUiKSAoSVMgImdyb3VwX25hbWUiICJzfmN1c3RvbS1lbGVtZW50cyIpIChJUyAibmFtZXNwYWNlIiAiIikgKElTICJpbmRleF9uYW1lIiAicmVwbyIpIChBTkQgKE9SIChRVCAiZWxlbWVudCIgInJ0ZXh0X2tpbmQiKSAoSVMgInJhdG9tX2tpbmQiICJlbGVtZW50IikpIChPUiAoUVQgImVsZW1lbnQiICJydGV4dF9raW5kIikgKElTICJyYXRvbV9raW5kIiAiZWxlbWVudCIpKSkpOhkKDChOIG9yZGVyX2lkKRABGQAAAAAAAPD_ShkIAToSYnRpX2dlbmVyaWNfc2NvcmVyQOgH","1004","element","Displaying an analog clock based on CSS transitions using a Polymer element.","https://avatars0.githubusercontent.com/u/26654185?v=3","0","2017-04-28T22:21:12Z","bender-clock","v1.1.0","1","itsMeBender","0","1"
"","","element","Friendly description of a time difference with variable precision.","https://avatars2.githubusercontent.com/u/826613?v=3","1","2017-06-28T11:31:24Z","time-diff","0.1.0","1","jifalops","0","2"
"","","element","A simple way to add an prefixed icon to an input that responds to disabled, focused and invalid states.","https://avatars3.githubusercontent.com/u/23249386?v=3","4","2017-06-28T22:21:51Z","titanium-icon-input-container","2.0.1","1","LssPolymerElements","0","3"
"","","element","A Web Component wrapper for FullCalendar library that uses Polymer version 2.0 and ES6.","https://avatars3.githubusercontent.com/u/3057088?v=3","2","2017-06-29T10:35:39Z","scheduler-component","v1.0.1","3","HaithemMosbahi","0","2"
"","","element","Element for creating and accessing self-organizing meta-databases","https://avatars2.githubusercontent.com/u/11639138?v=3","20","2017-06-27T23:20:08Z","iron-meta","v2.0.1","15","PolymerElements","13","1"
"","","element","Polymer element wrapper for the moment library","https://avatars2.githubusercontent.com/u/1007051?v=3","3","2017-06-20T22:15:03Z","moment-element","v2.0.0","16","abdonrd","6","2"
"","","element","Multiselect for paper-dropdown-menu","https://avatars2.githubusercontent.com/u/6273486?v=3","1","2017-06-27T10:46:32Z","paper-dropdown-menu-multi","0.2.0","0","tg9413","0","5"
"","","element","Polymer documentation viewer elements","https://avatars2.githubusercontent.com/u/11639138?v=3","23","2017-06-15T04:03:34Z","iron-doc-viewer","v3.0.3","8","PolymerElements","10","5"
"","","element","A polymer element that wraps bowser and exposes a few useful bindable properties.","https://avatars3.githubusercontent.com/u/23249386?v=3","4","2017-06-27T18:45:37Z","bowser-polymer","2.0.0","2","LssPolymerElements","0","1"
"","","element","A Material Design slider","https://avatars2.githubusercontent.com/u/11639138?v=3","24","2017-05-13T04:45:59Z","paper-slider","v2.0.2","27","PolymerElements","64","9"
"","","element","A Material Design search bar (Polymer)","https://avatars1.githubusercontent.com/u/7239008?v=3","9","2017-06-22T20:40:18Z","paper-search","2.0.6","41","Collaborne","22","18"
"","","element","Lightweight, style-agnostic popout/dropdown menu","https://avatars2.githubusercontent.com/u/20366265?v=3","2","2017-05-16T19:20:07Z","simple-dropdown","v0.4.0","7","SimpleElements","2","4"
"","","element","Polymer building blocks elements for building charts and visualization (based on d3.js v4)","https://avatars1.githubusercontent.com/u/17042611?v=3","1","2017-06-05T09:37:07Z","multi-chart","v0.7.7","9","PolymerEl","1","6"
"","","element","An editable richtext element you can update inline","https://avatars2.githubusercontent.com/u/17809461?v=3","2","2017-06-21T07:43:03Z","simpla-text","v1.2.1","8","SimplaElements","4","6"
"","","element","Polymer 2.x Chips represent complex entities in small blocks, such as a contact.","https://avatars1.githubusercontent.com/u/7078705?v=3","1","2017-06-15T22:07:00Z","paper-chip","2.0.7","11","ThomasCybulski","7","10"
"","","element","null","https://avatars1.githubusercontent.com/u/17493074?v=3","4","2017-03-23T09:45:25Z","gfs-checkout-widget","v1.0.5","1","GlobalFreightSolutions","1","14"
"","","element","A reusable landing page for elements","https://avatars2.githubusercontent.com/u/11639138?v=3","24","2017-06-24T18:27:21Z","iron-component-page","v3.0.1","19","PolymerElements","27","8"
"","","element","Custom form element","https://avatars2.githubusercontent.com/u/11639138?v=3","26","2017-06-27T00:23:01Z","iron-form","v2.0.0","41","PolymerElements","61","2"
"","","element","Simple Breadcrumbs Menu","https://avatars3.githubusercontent.com/u/7862574?v=3","1","2016-10-31T20:01:12Z","jas-breadcrumbs","0.2.9","0","homerjonathan","1","4"
"","","element","A what-you-see-is-what-you-get editor created with Polymer","https://avatars2.githubusercontent.com/u/2515209?v=3","10","2017-06-30T08:08:09Z","wysiwyg-e","v2.0.4","64","miztroh","12","19"
"False:CuoDCqYBCoMBgP_-9wWP2I_zy__-jIGcioyLkJLSmpOakpqRi4z_AHRtoKCZi4ygoP8AXZ6Pj5qRmJaRmv8Ac3RtlpGbmof_AF2Nmo-Q_wBzdG2bkJyglpv_AF2PkJOGkpqNmpPQj56Pmo3Si56YjP8Ac3-PkJOGkpqNmpPQj56Pmo3Si56YjP8A__4QZCEE3QSQHTwbGVAAWgsJ6klqPmmVoRAQAmDzo7vAARINRG9jdW1lbnRJbmRleBr5AShBTkQgKElTICJjdXN0b21lcl9uYW1lIiAiYXBwZW5naW5lIikgKElTICJncm91cF9uYW1lIiAic35jdXN0b20tZWxlbWVudHMiKSAoSVMgIm5hbWVzcGFjZSIgIiIpIChJUyAiaW5kZXhfbmFtZSIgInJlcG8iKSAoQU5EIChPUiAoUVQgImVsZW1lbnQiICJydGV4dF9raW5kIikgKElTICJyYXRvbV9raW5kIiAiZWxlbWVudCIpKSAoT1IgKFFUICJlbGVtZW50IiAicnRleHRfa2luZCIpIChJUyAicmF0b21fa2luZCIgImVsZW1lbnQiKSkpKToZCgwoTiBvcmRlcl9pZCkQARkAAAAAAADw_0oZCAE6EmJ0aV9nZW5lcmljX3Njb3JlckDoBw","1004","element","Cartoon-style elements to provide help to users","https://avatars1.githubusercontent.com/u/7239008?v=3","2","2017-06-26T22:35:05Z","paper-helper","2.0.5","1","Collaborne","0","8"
"","","element","Simple, modern, and inspired dropdown menu.","https://avatars2.githubusercontent.com/u/26533138?v=3","2","2017-06-24T09:51:36Z","shibui-dropdown-menu","1.0.4","1","ShibuiElements","2","2"
"","","element","An iron-ajax expansion for JSON Web Token.","https://avatars1.githubusercontent.com/u/27405949?v=3","1","2017-06-26T09:35:22Z","isw-jwt-ajax","1.0.0","0","IswPolymerElements","0","2"
"","","element","Horizontal toolbar containing items that can be used for label, navigation, search and actions","https://avatars2.githubusercontent.com/u/22341564?v=3","3","2017-07-02T08:24:07Z","ibm-toolbar","v2.0.2","12","IBMResearch","2","2"
"","","element","🌐⚛ A Web Component for visualizing an chemical element","https://avatars1.githubusercontent.com/u/19766850?v=3","1","2017-06-30T03:16:16Z","chemical-element-visualisation","v1.0.2","4","FlorianFe","1","2"
"","","element","Element for a virtual, ""infinite"" list","https://avatars2.githubusercontent.com/u/11639138?v=3","41","2017-07-05T04:21:44Z","iron-list","v2.0.3","151","PolymerElements","95","4"
"","","element","A set of elements wrapping the french governmental geo api (Polymer 1.9 - 2.x)","https://avatars0.githubusercontent.com/u/11428108?v=3","1","2017-06-12T00:30:28Z","geo-fr-api","v0.2.0","0","Zecat","0","2"
"","","element","Polymer component designed to merge JSON objects into other objects","https://avatars0.githubusercontent.com/u/1449290?v=3","1","2017-06-25T13:07:42Z","json-merge","0.0.2","0","bahrus","0","2"
"","","element","null","https://avatars2.githubusercontent.com/u/11734287?v=3","1","2017-06-24T18:06:28Z","timestamp-time","v0.0.5","0","DamandeepS","0","1"
"","","element","null","https://avatars0.githubusercontent.com/u/26679886?v=3","1","2017-06-24T18:39:49Z","iron-ga","v2.0.7","0","wasc-io","0","2"
"","","element","A Polymer 2.0 element which adds extra plasticity to <iron-image> with support for srcset and  lazy loading","https://avatars1.githubusercontent.com/u/1044471?v=3","1","2017-06-15T19:49:14Z","plastic-image","1.0.5","3","mlisook","2","2"
"","","element","Input field for HIPAA compliant DEA number Demo:","https://avatars1.githubusercontent.com/u/18709605?v=3","1","2017-05-29T21:52:09Z","hipaa-dea-number-input","v1.0.8","0","biztek","0","3"
"","","element","A generic drivers license input web component / custom element","https://avatars1.githubusercontent.com/u/18709605?v=3","2","2016-10-25T16:11:52Z","drivers-license-input","v1.1.1","1","biztek","2","7"
"","","element","Included in this page is the HTML select/dropdown code snippets to generate a list of states for the United States. The list uses the USPS state abbreviation values. A list of outlying territories and armed forces USPS entries are also available","https://avatars1.githubusercontent.com/u/18709605?v=3","3","2016-10-19T15:32:08Z","usa-state-list","v1.0.6","0","biztek","0","4"
"","","element","HIPAA compliant password input","https://avatars1.githubusercontent.com/u/18709605?v=3","2","2017-06-21T01:15:12Z","hipaa-password-input","v1.0.4","0","biztek","0","6"
"","","element","Input field to hold valid HIPAA compliant NPI number.","https://avatars1.githubusercontent.com/u/18709605?v=3","2","2017-06-19T19:43:37Z","hipaa-npi-number-input","v1.0.6","0","biztek","0","4"
"","","element","A single-line text field to hold valid Date input of given date pattern","https://avatars1.githubusercontent.com/u/18709605?v=3","1","2017-06-20T22:40:18Z","pmp-simple-date-input","v1.0.8","0","biztek","0","5"
"","","element","Material design text field which automatically adds comma to separate out the digits.","https://avatars1.githubusercontent.com/u/2021381?v=3","1","2017-06-22T17:49:26Z","paper-comma-input","1.0.3","0","sinisavukovic","0","2"
"","","element","Web Component wrapper for FullCalendar","https://avatars2.githubusercontent.com/u/2109702?v=3","8","2017-06-28T15:20:10Z","fullcalendar-calendar","v1.2.0","12","sorin-davidoi","7","5"
"","","element","paper tags, input tags and paper-tags dropdown for selecting multiple items in a list","https://avatars1.githubusercontent.com/u/17042611?v=3","2","2017-06-02T02:12:49Z","paper-tags","v1.5.0","7","PolymerEl","7","13"
"False:CvQDCrABCo0BgP_-9wWNFC_z5P_-jIGcioyLkJLSmpOakpqRi4z_AHRtoKCZi4ygoP8AXZ6Pj5qRmJaRmv8Ac3RtlpGbmof_AF2Nmo-Q_wBzdG2bkJyglpv_AF2NnoqTkZqL0IyajYmWnJrSiJqahZqJmpGL_wBzf42eipORmovQjJqNiZacmtKImpqFmomakYv_AP_-EHghBN0EkB08GxlQAFoLCepJaj5plaEQEAJg86O7wAESDURvY3VtZW50SW5kZXga-QEoQU5EIChJUyAiY3VzdG9tZXJfbmFtZSIgImFwcGVuZ2luZSIpIChJUyAiZ3JvdXBfbmFtZSIgInN-Y3VzdG9tLWVsZW1lbnRzIikgKElTICJuYW1lc3BhY2UiICIiKSAoSVMgImluZGV4X25hbWUiICJyZXBvIikgKEFORCAoT1IgKFFUICJlbGVtZW50IiAicnRleHRfa2luZCIpIChJUyAicmF0b21fa2luZCIgImVsZW1lbnQiKSkgKE9SIChRVCAiZWxlbWVudCIgInJ0ZXh0X2tpbmQiKSAoSVMgInJhdG9tX2tpbmQiICJlbGVtZW50IikpKSk6GQoMKE4gb3JkZXJfaWQpEAEZAAAAAAAA8P9KGQgBOhJidGlfZ2VuZXJpY19zY29yZXJA6Ac","1004","element","Polymer Web Components for AWS","https://avatars0.githubusercontent.com/u/28558358?v=3","3","2017-06-22T19:51:03Z","polymeraws","v2.0.0","15","PolymerAWS","2","4"
"","","element","Elements for accessing data from media input devices and visualizing that data for users","https://avatars2.githubusercontent.com/u/11639138?v=3","26","2017-05-30T14:47:04Z","app-media","v0.7.2","29","PolymerElements","5","2"
"","","element","Simple polymer element that uses Papa Parse and file-input to request a file and parse it into JSON Objects.","https://avatars3.githubusercontent.com/u/537359?v=3","1","2017-05-07T15:32:04Z","papa-parser","1.0.0","2","milesje","0","2"
"","","element","Google Places Autocomplete","https://avatars1.githubusercontent.com/u/1044471?v=3","1","2017-06-20T23:13:37Z","paper-input-place","1.9.2","10","mlisook","5","6"
"","","element","Presentation of steps to completion","https://avatars1.githubusercontent.com/u/26451082?v=3","2","2017-06-16T21:10:07Z","lrndesign-stepper","0.0.6","0","LRNWebComponents","0","5"
"","","element","Icons for expressing educational and instructional concepts","https://avatars1.githubusercontent.com/u/26451082?v=3","2","2017-04-12T13:33:49Z","lrn-icons","1.0.13","1","LRNWebComponents","1","4"
